"","Estacoes","R2_Chuva","R2_Diario","R2_Decendial","R2_Mensal"
"384","A427_PORTO_SEGURO_(Automatica)",0.199,0.216,0.428,0.28
"385","A428_SENHOR_DO_BONFIM_(Automatica)",0.387,0.405,0.549,0.652
"386","A429_BARRA_(Automatica)",0.163,0.261,0.603,0.867
"387","A430_PIATA_(Automatica)",0.051,0.102,0.279,0.291
"388","A431_CONDE_(Automatica)",0.042,0.065,0.172,0.039
"389","A433_BRUMADO_(Automatica)",0.28,0.401,0.904,0.968
"390","A434_AMARGOSA_(Automatica)",0.035,0.069,0.08,0.086
"391","A435_UAUA_(Automatica)",0.432,0.406,0.693,0.918
"392","A436_QUEIMADAS_(Automatica)",0.101,0.13,0.516,0.755
"393","A437_UNA_(Automatica)",0.209,0.215,0.311,0.269
"394","A438_MARAU_(Automatica)",0.121,0.144,0.063,-0.009
"395","A439_IBOTIRAMA_(Automatica)",0.289,0.399,0.68,0.842
"396","A440_JACOBINA_(Automatica)",0.336,0.247,0.267,0.093
"397","A441_SERRINHA_(Automatica)",0.051,0.078,0.417,0.524
"398","A442_EUCLIDES_DA_CUNHA_(Automatica)",0.125,0.116,0.149,0.228
"399","A444_VALENCA_(Automatica)",0.052,0.063,0.071,0.034
"400","A445_IPIAU_(Automatica)",0.107,0.123,0.346,0.423
"401","A446_ITAPETINGA_(Automatica)",0.408,0.439,0.519,0.552
"402","A447_BELMONTE_(Automatica)",0.061,0.039,0.187,0.081
"403","A502_Barbacena_(automatica)",0.109,0.179,0.562,0.689
"404","A505_Araxa_(automatica)",0.246,0.288,0.542,0.683
"405","A506_Montes_Claros_(automatica)",0.185,0.38,0.861,0.947
"406","A507_Uberlandia_(automatica)",0.215,0.344,0.659,0.783
"407","A508_Almenara_(automatica)",0.282,0.319,0.58,0.692
"408","A509_MONTE_VERDE",0.191,0.231,0.633,0.735
"409","A510_Vicosa_(automatica)",0.176,0.27,0.531,0.686
"410","A511_Timoteo_(automatica)",0.239,0.328,0.633,0.691
"411","A512_Ituiutaba_(automatica)",0.307,0.369,0.791,0.867
"412","A513_Ouro_Branco_(automatica)",0.166,0.182,0.305,0.279
"413","A514_Sao_Joao_del_Rei_(automatica)",0.271,0.347,0.694,0.665
"414","A515_Varginha_(automatica)",0.16,0.294,0.57,0.711
"415","A516_Passos_(automatica)",0.16,0.298,0.717,0.878
"416","A517_Muriae_(automatica)",0.133,0.235,0.596,0.613
"417","A518_Juiz_de_Fora_(automatica)",0.218,0.325,0.651,0.762
"418","A519_Campina_Verde_(automatica)",0.171,0.26,0.546,0.784
